Frequency,Amplitude,Time,Note,Deviation,Adjusted_Corr_Freq,Adjusted_Rel_Freq,Scaled_Amplitude
129.19921875,9.507671,138.41414965986394,C3,-1.6107812500000023,6.569218749999997,4.929218749999998,17
118.4326171875,10.052394,138.43736961451248,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,18
118.4326171875,10.598618,138.460589569161,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,19
118.4326171875,12.269282,138.48380952380953,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,22
118.4326171875,13.859072,138.50702947845804,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,25
118.4326171875,11.270818,138.53024943310658,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,20
247.6318359375,5.9756985,138.55346938775511,B3,0.6918359375000023,16.121835937500002,12.941835937500002,10
172.265625,4.9140344,138.57668934240365,F3,-2.3443750000000136,8.565624999999986,6.3156249999999865,8
172.265625,12.876864,138.59990929705216,F3,-2.3443750000000136,8.565624999999986,6.3156249999999865,23
161.4990234375,20.643238,138.62312925170068,E3,-3.3109765625000023,6.989023437499998,4.869023437499997,37
161.4990234375,24.577803,138.6463492063492,E3,-3.3109765625000023,6.989023437499998,4.869023437499997,44
161.4990234375,22.207556,138.66956916099772,E3,-3.3109765625000023,6.989023437499998,4.869023437499997,40
161.4990234375,17.866365,138.69278911564626,E3,-3.3109765625000023,6.989023437499998,4.869023437499997,32
161.4990234375,15.71732,138.71600907029477,E3,-3.3109765625000023,6.989023437499998,4.869023437499997,28
161.4990234375,15.675782,138.7392290249433,E3,-3.3109765625000023,6.989023437499998,4.869023437499997,28
172.265625,14.055343,138.76244897959182,F3,-2.3443750000000136,8.565624999999986,6.3156249999999865,25
118.4326171875,12.257409,138.78566893424036,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,22
118.4326171875,16.41988,138.8088888888889,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,30
118.4326171875,16.309324,138.8321088435374,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,29
118.4326171875,14.671185,138.85532879818595,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,26
118.4326171875,10.877286,138.87854875283446,A#2,1.8926171874999937,8.231308593749997,6.726308593749997,19
161.4990234375,8.501026,138.901768707483,E3,-3.3109765625000023,6.989023437499998,4.869023437499997,15
161.4990234375,9.044812,138.9249886621315,E3,-3.3109765625000023,6.989023437499998,4.869023437499997,16
161.4990234375,7.1698675,138.94820861678005,E3,-3.3109765625000023,6.989023437499998,4.869023437499997,13
258.3984375,7.392145,138.97142857142856,C4,-3.2315624999999955,4.948437500000004,3.3084375000000046,13
258.3984375,7.3635607,138.9946485260771,C4,-3.2315624999999955,4.948437500000004,3.3084375000000046,13
129.19921875,5.872111,139.0178684807256,C3,-1.6107812500000023,6.569218749999997,4.929218749999998,10
129.19921875,4.486141,139.04108843537415,C3,-1.6107812500000023,6.569218749999997,4.929218749999998,8
107.666015625,5.9837513,139.0643083900227,A2,-2.333984375,11.416015625,8.576015625,10
107.666015625,8.142715,139.0875283446712,A2,-2.333984375,11.416015625,8.576015625,14
107.666015625,10.978999,139.11074829931974,A2,-2.333984375,11.416015625,8.576015625,20
107.666015625,14.7195835,139.13396825396825,A2,-2.333984375,11.416015625,8.576015625,26
107.666015625,15.224557,139.1571882086168,A2,-2.333984375,11.416015625,8.576015625,27
